GPE 2 - Couche Physique des Télécommunications;GPE 3 - Electronique numérique;Infrastructures et réseaux;GPE 1 - Electronique analogique et de commutation;Communication orale et écrite S5;Vie professionnelle S5;Projet informatique;Sciences de l'ingénieur 1;Anglais S5;Grand projet informatique 1;Grand projet informatique 2;Langues S6;Automatique et Génie Electrique (PAGE);Projet Electronique 1;Projet Electronique 2;Sciences de l'homme;Séminaire d'entreprise;Sciences de l'ingénieur 2
12,42;12,47;13,44;13,77;11,03;15;14,64;13,26;11,6;16,03;15,03;14,11;14,1;12,58;14;10,5;11,88;10,08
14,46;15,2;16,14;13,16;11,47;16,75;15,8;13,35;12,29;14,88;15,05;11,8;14,5;12,59;13;15,25;12,72;12,91
14,83;17,73;17,67;12,05;14;16,75;17,92;16,15;17,12;13,64;16,73;13,28;14,96;14,11;15;12,75;14,27;13,51
