GPE 2 - Couche Physique des Télécommunications;GPE 3 - Electronique numérique;Infrastructures et réseaux;GPE 1 - Electronique analogique et de commutation;Communication orale et écrite S5;Vie professionnelle S5;Projet informatique;Sciences de l'ingénieur 1;Anglais S5;Grand projet informatique 1;Grand projet informatique 2;Langues S6;Automatique et Génie Electrique (PAGE);Projet Electronique 1;Projet Electronique 2;Sciences de l'homme;Séminaire d'entreprise;Sciences de l'ingénieur 2
1;1;2;1;1;1;3;2;1;4;4;1;1;1;1;1;1;1
1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1
1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
